NOMBRES,APELLIDOS,ID,N
MARIA,GARCIA,A1
JOSE,MARTINEZ,A2
JOSEFA,LOPEZ,A3
ISABEL,SANCHEZ,A4
MANUEL,GONZALEZ,A5
PEDRO,GOMEZ,A6
FRANCISCA,FERNANDEZ,A7
ANGEL,MORENO,A8
MIGUEL,JIMENEZ,A9
JAVIER,PEREZ,A10
ANTONIA,RODRIGUEZ,B1
ANA,NAVARRO,B2
CARLOS,RUIZ,B3
JOSE LUIS,DIAZ,B4
ALEJANDRO,SERRANO,B5
MIGUEL,HERNANDEZ,B6
LUCIA,MUÑOZ,B7
RAFAEL,SAEZ,B8
DANIEL,ROMERO,B9
ENCARNACION,RUBIO,B10
JUANA,ALFARO,C1
PABLO,MOLINA,C2
ROSARIO,LOZANO,C3
ELENA,CASTILLO,C4
MARTA,PICAZO,C5
FERNANDO,ORTEGA,C6
ROSA,MORCILLO,C7
ANDRES,CANO,C8
JOSEFA,MARIN,C9
RAQUEL,CUENCA,C10
RAMON,GARRIDO,D1
RAUL,TORRES,D2
MERCEDES,CORCOLES,D3
IRENE,GIL,D4
ALVARO,ORTIZ,D5
BEATRIZ,CALERO,D6
PAULA,VALERO,D7
ANGELA,CEBRIAN,D8
JULIA,RODENAS,D9
JULIAN,ALARCON,D10
ROCIO,BLAZQUEZ,E1
ALFONSO,NUÑEZ,E2
ADRIAN,PARDO,E3
CONSUELO,MOYA,E4
ROSA,TEBAR,E5
ASCENSION,REQUENA,E6
ANDREA,ARENAS,E7
PASCUAL,BALLESTEROS,E8
JOSE MIGUEL,COLLADO,E9
MARIO,RAMIREZ,E10
